,2017 Pop,2017 Unmarried Women,High School Graduate,Unemployment,Percent Under the Poverty lavel,Mean Income,Sex Ratio,Mean Age,zip code tabulation area
158,813,-666666666.0,25.9,3.8,6.2,107515,99.3,50.1,01270
159,1604,0.0,25.9,4.2,5.8,79976,114.7,47.6,01354
160,477,100.0,50.9,0.0,0.0,64004,96.3,33.7,01074
161,209,100.0,41.6,24.5,10.0,37458,54.8,49.8,01224
162,574,-666666666.0,0.0,6.5,-666666666.0,-666666666,5.9,20.5,01063
163,327,-666666666.0,29.9,0.0,8.9,54306,145.9,54.6,01094
164,54,-666666666.0,47.6,0.0,74.1,27435,74.2,17.1,01097
165,11131,-666666666.0,9.6,18.0,75.0,-999999999,104.4,19.9,01003
166,28671,37.5,27.9,7.6,12.1,68964,94.6,39.2,01089
167,506,-666666666.0,24.5,3.8,5.1,115657,91.7,60.6,01259
168,13379,23.8,32.7,8.8,4.7,104931,84.0,43.1,01507
169,18836,38.2,16.2,3.6,5.1,132231,94.9,38.0,01581
170,86,-666666666.0,34.9,0.0,5.8,31869,104.8,67.4,01229
171,46,-666666666.0,50.0,0.0,0.0,71740,91.7,59.5,01343
172,126,-666666666.0,58.3,0.0,13.5,44103,35.5,46.0,01347
173,447,-666666666.0,17.6,9.8,5.4,97567,56.8,32.9,01260
174,9,-666666666.0,0.0,-666666666.0,0.0,-999999999,-666666666.0,-666666666.0,01066
175,683,-666666666.0,-666666666.0,0.0,-666666666.0,-666666666,78.8,19.0,01086
176,480,-666666666.0,34.7,0.0,11.5,57065,134.1,46.3,01079
177,227,-666666666.0,14.0,14.7,0.0,61632,99.1,36.5,01525
178,1878,0.0,28.1,7.0,24.6,34504,84.5,39.7,01901
179,15703,59.6,36.5,9.5,16.6,56405,91.7,43.6,01247
180,742,-666666666.0,30.6,4.5,5.3,93233,112.0,59.8,01253
181,13281,52.1,37.1,9.5,13.7,66161,85.0,44.7,01331
182,1468,0.0,23.5,2.0,7.4,95297,113.1,49.3,01330
183,1360,0.0,18.0,1.9,5.8,102325,91.0,55.5,01266
184,1642,100.0,32.8,7.7,13.8,66607,99.3,53.7,01340
185,86,-666666666.0,55.1,5.9,8.1,49977,95.5,54.7,01350
186,563,-666666666.0,35.8,9.3,3.0,85295,122.5,60.1,01438
187,14906,14.1,23.9,4.5,5.8,104812,95.1,43.8,01007
188,30148,48.3,36.4,7.3,10.6,70312,97.9,44.2,01020
