ORINumber,Agency,Population,Murder,Rape,Robbery,Assault,Burglary,Larceny,Auto Theft,County
,Percent Cleared,,0,0,0,50,0,0,0,Hudson
,Number of Arrests,,0,0,0,0,0,5,0,Hudson
NJ009149E,STEVENS INSTITUTE OF TECHNOLOGY,,,,,,,,,Hudson
,Number of Offenses,,0,0,0,0,0,16,0,Hudson
,"Rate Per 100,000",,0,0,0,0,0,0,0,Hudson
,Number of Clearances,,0,0,0,0,0,0,0,Hudson
,Percent Cleared,,0,0,0,0,0,0,0,Hudson
,Number of Arrests,,0,0,0,0,0,1,0,Hudson
NJ0091000,UNION CITY PD,69950,,,,,,,,Hudson
,Number of Offenses,,2,0,76,155,95,894,89,Hudson
,"Rate Per 100,000",,2.9,0,108.6,221.6,135.8,"1,278.1",127.2,Hudson
,Number of Clearances,,1,1,24,125,13,54,7,Hudson
,Percent Cleared,,50,0,32,81,14,6,8,Hudson
,Number of Arrests,,1,2,28,126,15,57,9,Hudson
NJ0091100,WEEHAWKEN PD,15567,,,,,,,,Hudson
,Number of Offenses,,0,0,7,16,24,182,17,Hudson
,"Rate Per 100,000",,0,0,45.0,102.8,154.2,"1,169.1",109.2,Hudson
,Number of Clearances,,0,0,4,14,4,32,2,Hudson
,Percent Cleared,,0,0,57,88,17,18,12,Hudson
,Number of Arrests,,0,0,8,15,10,24,1,Hudson
NJ0091200,WEST NEW YORK PD,54095,,,,,,,,Hudson
NJ0100400,CALIFON BOROUGH,1068,,,,,,,,Hunterdon
,Number of Offenses,,0,0,0,0,0,0,0,Hunterdon
,"Rate Per 100,000",,0,0,0,0,0,0,0,Hunterdon
,Number of Clearances,,0,0,0,0,0,0,0,Hunterdon
,Percent Cleared,,0,0,0,0,0,0,0,Hunterdon
,Number of Arrests,,0,0,0,0,0,0,0,Hunterdon
NJ0100500,CLINTON TOWN PD,2699,,,,,,,,Hunterdon
,Number of Offenses,,0,0,0,1,5,7,1,Hunterdon
,"Rate Per 100,000",,0,0,0,37.1,185.3,259.4,37.1,Hunterdon
,Number of Clearances,,0,0,0,1,2,5,1,Hunterdon
,Percent Cleared,,0,0,0,100,40,71,100,Hunterdon
,Number of Arrests,,0,0,0,1,1,1,1,Hunterdon
NJ0100600,CLINTON TWP PD,12824,,,,,,,,Hunterdon
,Number of Offenses,,0,1,0,0,15,34,1,Hunterdon
,"Rate Per 100,000",,0,7.8,0,0,117.0,265.1,7.8,Hunterdon
,Number of Clearances,,0,0,0,0,3,7,1,Hunterdon
,Percent Cleared,,0,0,0,0,20,21,100,Hunterdon
,Number of Arrests,,0,0,0,1,4,8,0,Hunterdon
NJ0100700,DELAWARE TWP PD,4461,,,,,,,,Hunterdon
,Number of Offenses,,0,0,0,1,2,9,3,Hunterdon
,"Rate Per 100,000",,0,0,0,22.4,44.8,201.7,67.2,Hunterdon
,Number of Clearances,,0,0,0,1,0,2,1,Hunterdon
,Percent Cleared,,0,0,0,100,0,22,33,Hunterdon
,Number of Arrests,,0,0,0,1,0,0,0,Hunterdon
NJ0100900,FLEMINGTON PD,4627,,,,,,,,Hunterdon
,Number of Offenses,,0,1,2,1,10,50,4,Hunterdon
,"Rate Per 100,000",,0,21.6,43.2,21.6,216.1,"1,080.6",86.4,Hunterdon
,Number of Clearances,,0,1,1,1,2,8,1,Hunterdon
,Percent Cleared,,0,100,50,100,20,16,25,Hunterdon
,Number of Arrests,,0,1,1,1,1,10,1,Hunterdon
NJ0101000,FRANKLIN TWP PD,3238,,,,,,,,Hunterdon
,Number of Offenses,,0,0,0,0,3,27,0,Hunterdon
,"Rate Per 100,000",,0,0,0,0,92.6,833.8,0,Hunterdon
,Number of Clearances,,0,0,0,0,0,14,0,Hunterdon
,Percent Cleared,,0,0,0,0,0,52,0,Hunterdon
,Number of Arrests,,0,0,0,0,0,13,0,Hunterdon
NJ0101100,FRENCHTOWN BORO PD,1363,,,,,,,,Hunterdon
,Number of Offenses,,0,0,0,1,0,0,0,Hunterdon
,"Rate Per 100,000",,0,0,0,73.4,0,0,0,Hunterdon
,Number of Clearances,,0,0,0,1,0,0,0,Hunterdon
,Percent Cleared,,0,0,0,100,0,0,0,Hunterdon
,Number of Arrests,,0,0,0,0,0,0,0,Hunterdon
NJ0101400,HIGH BRIDGE BORO PD,3528,,,,,,,,Hunterdon
,Number of Offenses,,0,0,0,4,8,13,0,Hunterdon
,"Rate Per 100,000",,0,0,0,113.4,226.8,368.5,0,Hunterdon
,Number of Clearances,,0,0,0,4,1,1,0,Hunterdon
,Percent Cleared,,0,0,0,100,13,8,0,Hunterdon
,Number of Arrests,,0,0,0,2,0,0,0,Hunterdon
NJ0101500,HOLLAND TWP PD,5128,,,,,,,,Hunterdon
,Number of Offenses,,0,2,0,2,2,6,1,Hunterdon
,"Rate Per 100,000",,0,39.0,0,39.0,39.0,117.0,19.5,Hunterdon
,Number of Clearances,,0,0,0,2,0,0,1,Hunterdon
,Percent Cleared,,0,0,0,100,0,0,100,Hunterdon
,Number of Arrests,,0,0,0,2,0,0,1,Hunterdon
NJ0108900,HUNTERDON CO PROSECUTOR' OFFICE,0,,,,,,,,Hunterdon
,Number of Offenses,,0,0,0,0,0,0,0,Hunterdon
,"Rate Per 100,000",,0,0,0,0,0,0,0,Hunterdon
,Number of Clearances,,0,0,0,0,0,0,0,Hunterdon
,Percent Cleared,,0,0,0,0,0,0,0,Hunterdon
,Number of Arrests,,0,0,0,0,0,0,0,Hunterdon
NJ0100000,HUNTERDON CO SHERIFF'S DEPT,0,,,,,,,,Hunterdon
,Number of Offenses,,0,0,0,0,0,0,0,Hunterdon
,"Rate Per 100,000",,0,0,0,0,0,0,0,Hunterdon
,Number of Clearances,,0,0,0,0,0,0,0,Hunterdon
,Percent Cleared,,0,0,0,0,0,0,0,Hunterdon
,Number of Arrests,,0,0,0,0,0,0,0,Hunterdon
NJ0101700,LAMBERTVILLE CITY PD,3811,,,,,,,,Hunterdon
,Number of Offenses,,0,0,0,2,5,34,5,Hunterdon
,"Rate Per 100,000",,0,0,0,52.5,131.2,892.2,131.2,Hunterdon
,Number of Clearances,,0,0,0,2,0,8,3,Hunterdon
,Percent Cleared,,0,0,0,100,0,24,60,Hunterdon
,Number of Arrests,,0,0,0,2,0,1,1,Hunterdon
NJ0101900,LEBANON TWP PD,6070,,,,,,,,Hunterdon
,Number of Offenses,,0,0,0,3,13,15,0,Hunterdon
,"Rate Per 100,000",,0,0,0,49.4,214.2,247.1,0,Hunterdon
,Number of Clearances,,0,0,0,3,2,2,0,Hunterdon
,Percent Cleared,,0,0,0,100,15,13,0,Hunterdon
,Number of Arrests,,0,0,1,0,0,3,0,Hunterdon
NJ0102100,RARITAN TWP PD,22092,,,,,,,,Hunterdon
,Number of Offenses,,0,0,2,3,8,84,3,Hunterdon
,"Rate Per 100,000",,0,0,9.1,13.6,36.2,380.2,13.6,Hunterdon
,Number of Clearances,,0,0,1,2,1,21,0,Hunterdon
,Percent Cleared,,0,0,50,67,13,25,0,Hunterdon
,Number of Arrests,,0,0,1,2,1,22,0,Hunterdon
NJ0102200,READINGTON PD,15941,,,,,,,,Hunterdon
,Number of Offenses,,1,0,0,1,16,60,6,Hunterdon
,"Rate Per 100,000",,6.3,0,0,6.3,100.4,376.4,37.6,Hunterdon
,Number of Clearances,,1,0,0,1,1,11,4,Hunterdon
,Percent Cleared,,100,0,0,100,6,18,67,Hunterdon
,Number of Arrests,,0,0,0,1,0,12,4,Hunterdon
NJ010SP,STATE POLICE HUNTERDON COUNTY,,,,,,,,,Hunterdon
,Number of Offenses,,0,1,1,7,14,60,9,Hunterdon
,"Rate Per 100,000",,0,0,0,0,0,0,0,Hunterdon
,Number of Clearances,,0,1,1,5,1,8,1,Hunterdon
,Percent Cleared,,0,100,100,71,7,13,11,Hunterdon
,Number of Arrests,,0,0,1,2,1,5,0,Hunterdon
NJ0102400,TEWKSBURY TWP PD,5825,,,,,,,,Hunterdon
,Number of Offenses,,0,0,0,0,3,8,1,Hunterdon
,"Rate Per 100,000",,0,0,0,0,51.5,137.3,17.2,Hunterdon
,Number of Clearances,,0,0,0,0,1,0,0,Hunterdon
,Percent Cleared,,0,0,0,0,33,0,0,Hunterdon
,Number of Arrests,,0,0,0,0,3,0,0,Hunterdon
NJ0102600,WEST AMWELL TWP PD,2757,,,,,,,,Hunterdon
NJ0111800,COLLEGE OF NEW JERSEY,0,,,,,,,,Mercer
,Number of Offenses,,0,2,0,0,3,64,0,Mercer
,"Rate Per 100,000",,0,0,0,0,0,0,0,Mercer
,Number of Clearances,,0,0,0,0,0,5,0,Mercer
,Percent Cleared,,0,0,0,0,0,8,0,Mercer
,Number of Arrests,,0,0,0,0,0,2,0,Mercer
NJ0225500,DEPT OF CORRECTIONS,,,,,,,,,Mercer
,Number of Offenses,,0,0,0,36,0,0,0,Mercer
,"Rate Per 100,000",,0,0,0,0,0,0,0,Mercer
,Number of Clearances,,0,0,0,36,0,0,0,Mercer
,Percent Cleared,,0,0,0,100,0,0,0,Mercer
,Number of Arrests,,0,0,0,0,0,0,0,Mercer
NJ0110100,EAST WINDSOR TWP PD,27401,,,,,,,,Mercer
,Number of Offenses,,0,5,8,5,7,160,4,Mercer
,"Rate Per 100,000",,0,18.2,29.2,18.2,25.5,583.9,14.6,Mercer
,Number of Clearances,,0,4,5,3,2,52,0,Mercer
,Percent Cleared,,0,80,63,60,29,33,0,Mercer
,Number of Arrests,,0,2,7,3,1,50,0,Mercer
NJ0110200,EWING TWP PD,36142,,,,,,,,Mercer
,Number of Offenses,,0,13,18,38,113,511,61,Mercer
,"Rate Per 100,000",,0,36.0,49.8,105.1,312.7,"1,413.9",168.8,Mercer
,Number of Clearances,,0,2,3,22,10,109,2,Mercer
,Percent Cleared,,0,15,17,58,9,21,3,Mercer
,Number of Arrests,,0,2,2,24,20,107,0,Mercer
NJ0110300,HAMILTON TWP PD,87889,,,,,,,,Mercer
,Number of Offenses,,4,12,50,50,325,1296,79,Mercer
,"Rate Per 100,000",,4.6,13.7,56.9,56.9,369.8,"1,474.6",89.9,Mercer
,Number of Clearances,,1,3,17,26,34,319,3,Mercer
,Percent Cleared,,25,25,34,52,10,25,4,Mercer
,Number of Arrests,,1,3,34,36,47,307,3,Mercer
NJ0110400,HIGHTSTOWN PD,5289,,,,,,,,Mercer
,Number of Offenses,,0,1,0,0,6,28,0,Mercer
,"Rate Per 100,000",,0,18.9,0,0,113.4,529.4,0,Mercer
,Number of Clearances,,0,1,0,0,3,5,0,Mercer
,Percent Cleared,,0,100,0,0,50,18,0,Mercer
,Number of Arrests,,0,0,0,0,3,0,0,Mercer
NJ0110500,HOPEWELL BOROUGH,1921,,,,,,,,Mercer
,Number of Offenses,,0,0,0,0,1,5,0,Mercer
,"Rate Per 100,000",,0,0,0,0,52.1,260.3,0,Mercer
,Number of Clearances,,0,0,0,0,0,1,0,Mercer
,Percent Cleared,,0,0,0,0,0,20,0,Mercer
,Number of Arrests,,0,0,0,0,0,2,0,Mercer
NJ0110600,HOPEWELL TWP PD,18000,,,,,,,,Mercer
,Number of Offenses,,0,5,1,2,18,58,0,Mercer
,"Rate Per 100,000",,0,27.8,5.6,11.1,100.0,322.2,0,Mercer
,Number of Clearances,,0,6,1,0,5,10,0,Mercer
,Percent Cleared,,0,120,100,0,28,17,0,Mercer
,Number of Arrests,,0,2,1,0,5,7,0,Mercer
NJ0110700,LAWRENCE TWP PD,32644,,,,,,,,Mercer
,Number of Offenses,,0,6,6,18,54,529,13,Mercer
,"Rate Per 100,000",,0,18.4,18.4,55.1,165.4,"1,620.5",39.8,Mercer
,Number of Clearances,,0,5,4,17,14,218,4,Mercer
,Percent Cleared,,0,83,67,94,26,41,31,Mercer
,Number of Arrests,,0,3,5,18,11,220,1,Mercer
NJ0118900,MERCER CO PROSECUTOR' OFF/ID UNIT,0,,,,,,,,Mercer
,Number of Offenses,,0,0,0,0,0,0,0,Mercer
,"Rate Per 100,000",,0,0,0,0,0,0,0,Mercer
,Number of Clearances,,0,0,0,0,0,0,0,Mercer
,Percent Cleared,,0,0,0,0,0,0,0,Mercer
,Number of Arrests,,0,2,0,0,4,0,0,Mercer
NJ0110000,MERCER CO SHERIFF'S DEPT,0,,,,,,,,Mercer
,Number of Offenses,,0,0,0,1,7,4,2,Mercer
,"Rate Per 100,000",,0,0,0,0,0,0,0,Mercer
,Number of Clearances,,0,0,0,1,6,3,2,Mercer
,Percent Cleared,,0,0,0,100,86,75,100,Mercer
,Number of Arrests,,0,0,0,0,0,0,0,Mercer
NJ0111900,NJ DEPARTMENT OF HUMAN SERVICES,0,,,,,,,,Mercer
,Number of Offenses,,0,0,0,59,1,33,0,Mercer
,"Rate Per 100,000",,0,0,0,0,0,0,0,Mercer
,Number of Clearances,,0,0,0,13,0,2,0,Mercer
,Percent Cleared,,0,0,0,22,0,6,0,Mercer
,Number of Arrests,,0,0,0,6,0,4,0,Mercer
NJ0227500,NJ DIV CRIMINAL JUSTICE - TRENTON,,,,,,,,,Mercer
,Number of Offenses,,0,0,0,1,0,0,0,Mercer
,"Rate Per 100,000",,0,0,0,0,0,0,0,Mercer
,Number of Clearances,,0,0,0,1,0,0,0,Mercer
,Percent Cleared,,0,0,0,100,0,0,0,Mercer
,Number of Arrests,,0,0,0,1,0,0,0,Mercer
NJ0111700,NJ DIVISION OF FISH & WILDLIFE,0,,,,,,,,Mercer
,Number of Offenses,,0,0,0,0,0,7,0,Mercer
,"Rate Per 100,000",,0,0,0,0,0,0,0,Mercer
,Number of Clearances,,0,0,0,0,0,3,0,Mercer
,Percent Cleared,,0,0,0,0,0,43,0,Mercer
,Number of Arrests,,0,0,0,0,0,3,0,Mercer
NJ0225400,NJ PARK POLICE,0,,,,,,,,Mercer
,Number of Offenses,,0,1,1,5,8,42,2,Mercer
,"Rate Per 100,000",,0,0,0,0,0,0,0,Mercer
,Number of Clearances,,0,0,0,0,0,0,0,Mercer
,Percent Cleared,,0,0,0,0,0,0,0,Mercer
,Number of Arrests,,0,0,0,2,0,3,0,Mercer
NJ0110800,PENNINGTON BORO PD,2554,,,,,,,,Mercer
,Number of Offenses,,0,1,0,0,0,5,0,Mercer
,"Rate Per 100,000",,0,39.2,0,0,0,195.8,0,Mercer
,Number of Clearances,,0,0,0,0,0,1,0,Mercer
,Percent Cleared,,0,0,0,0,0,20,0,Mercer
,Number of Arrests,,0,0,0,0,0,0,0,Mercer
NJ0111000,PRINCETON PD,31856,,,,,,,,Mercer
,Number of Offenses,,0,0,3,8,43,169,12,Mercer
,"Rate Per 100,000",,0,0,9.4,25.1,135.0,530.5,37.7,Mercer
,Number of Clearances,,0,0,0,8,3,16,4,Mercer
,Percent Cleared,,0,0,0,100,7,9,33,Mercer
,Number of Arrests,,0,0,0,6,3,18,4,Mercer
NJ011509E,PRINCETON UNIVERSITY POLICE,0,,,,,,,,Mercer
,Number of Offenses,,0,2,0,0,12,162,16,Mercer
,"Rate Per 100,000",,0,0,0,0,0,0,0,Mercer
,Number of Clearances,,0,0,0,0,2,5,5,Mercer
,Percent Cleared,,0,0,0,0,17,3,31,Mercer
,Number of Arrests,,0,0,0,0,0,6,3,Mercer
NJ0111200,ROBBINSVILLE TOWNSHIP POLICE,14710,,,,,,,,Mercer
,Number of Offenses,,1,0,1,0,10,47,2,Mercer
,"Rate Per 100,000",,6.8,0,6.8,0,68.0,319.5,13.6,Mercer
,Number of Clearances,,1,0,1,0,1,4,0,Mercer
,Percent Cleared,,100,0,100,0,10,9,0,Mercer
,Number of Arrests,,1,0,2,1,2,9,0,Mercer
NJNSP2200,STATE POLICE,0,,,,,,,,Mercer
,Number of Offenses,,0,0,0,0,0,0,0,Mercer
,"Rate Per 100,000",,0,0,0,0,0,0,0,Mercer
,Number of Clearances,,0,0,0,0,0,0,0,Mercer
,Percent Cleared,,0,0,0,0,0,0,0,Mercer
,Number of Arrests,,0,0,0,0,0,0,0,Mercer
NJ011SP,STATE POLICE MERCER COUNTY,,,,,,,,,Mercer
,Number of Offenses,,1,3,0,6,3,46,1,Mercer
,"Rate Per 100,000",,0,0,0,0,0,0,0,Mercer
,Number of Clearances,,1,0,0,3,0,5,0,Mercer
,Percent Cleared,,100,0,0,50,0,11,0,Mercer
,Number of Arrests,,1,3,0,5,1,2,0,Mercer
NJ0111100,TRENTON PD,83753,,,,,,,,Mercer
,Number of Offenses,,16,40,341,575,772,1317,377,Mercer
,"Rate Per 100,000",,19.1,47.8,407.1,686.5,921.8,"1,572.5",450.1,Mercer
,Number of Clearances,,6,6,74,249,65,99,0,Mercer
,Percent Cleared,,38,15,22,43,8,8,0,Mercer
,Number of Arrests,,8,6,70,214,67,92,0,Mercer
NJ0111300,WEST WINDSOR TWP PD,28277,,,,,,,,Mercer
NJ0120100,CARTERET PD,23921,,,,,,,,Middlesex
,Number of Offenses,,1,4,15,25,35,236,24,Middlesex
,"Rate Per 100,000",,4.2,16.7,62.7,104.5,146.3,986.6,100.3,Middlesex
,Number of Clearances,,1,4,5,16,7,31,5,Middlesex
,Percent Cleared,,100,100,33,64,20,13,21,Middlesex
,Number of Arrests,,1,4,9,14,13,31,1,Middlesex
NJ0120200,CRANBURY TWP PD,3900,,,,,,,,Middlesex
,Number of Offenses,,0,0,0,0,1,35,1,Middlesex
,"Rate Per 100,000",,0,0,0,0,25.6,897.4,25.6,Middlesex
,Number of Clearances,,0,0,0,0,0,2,1,Middlesex
,Percent Cleared,,0,0,0,0,0,6,100,Middlesex
,Number of Arrests,,0,0,0,0,0,3,1,Middlesex
NJ0120300,DUNELLEN PD,7328,,,,,,,,Middlesex
,Number of Offenses,,0,0,1,2,14,82,1,Middlesex
,"Rate Per 100,000",,0,0,13.6,27.3,191.0,"1,119.0",13.6,Middlesex
,Number of Clearances,,0,0,0,2,4,12,1,Middlesex
,Percent Cleared,,0,0,0,100,29,15,100,Middlesex
,Number of Arrests,,0,0,0,4,3,11,1,Middlesex
NJ0120400,EAST BRUNSWICK TWP PD,48342,,,,,,,,Middlesex
,Number of Offenses,,0,4,8,20,70,553,9,Middlesex
,"Rate Per 100,000",,0,8.3,16.5,41.4,144.8,"1,143.9",18.6,Middlesex
,Number of Clearances,,0,0,2,16,5,130,2,Middlesex
,Percent Cleared,,0,0,25,80,7,24,22,Middlesex
,Number of Arrests,,0,0,4,17,24,140,8,Middlesex
NJ0120500,EDISON TWP PD,101309,,,,,,,,Middlesex
,Number of Offenses,,2,8,44,66,166,899,82,Middlesex
,"Rate Per 100,000",,2.0,7.9,43.4,65.1,163.9,887.4,80.9,Middlesex
,Number of Clearances,,1,1,22,43,22,212,12,Middlesex
,Percent Cleared,,50,13,50,65,13,24,15,Middlesex
,Number of Arrests,,0,1,24,51,29,271,22,Middlesex
NJ0120600,HELMETTA PD,2198,,,,,,,,Middlesex
,Number of Offenses,,0,0,0,0,0,8,0,Middlesex
,"Rate Per 100,000",,0,0,0,0,0,364.0,0,Middlesex
,Number of Clearances,,0,0,0,0,0,2,0,Middlesex
,Percent Cleared,,0,0,0,0,0,25,0,Middlesex
,Number of Arrests,,0,0,0,0,0,1,0,Middlesex
NJ0120700,HIGHLAND PARK PD,13989,,,,,,,,Middlesex
,Number of Offenses,,1,0,1,6,20,141,5,Middlesex
,"Rate Per 100,000",,7.1,0,7.1,42.9,143.0,"1,007.9",35.7,Middlesex
,Number of Clearances,,1,0,0,6,0,16,0,Middlesex
,Percent Cleared,,100,0,0,100,0,11,0,Middlesex
,Number of Arrests,,1,0,1,4,1,12,0,Middlesex
NJ0120800,JAMESBURG PD,6006,,,,,,,,Middlesex
,Number of Offenses,,0,1,2,2,10,45,1,Middlesex
,"Rate Per 100,000",,0,16.7,33.3,33.3,166.5,749.3,16.7,Middlesex
,Number of Clearances,,0,0,1,2,5,12,0,Middlesex
,Percent Cleared,,0,0,50,100,50,27,0,Middlesex
,Number of Arrests,,0,0,1,2,8,4,0,Middlesex
NJ0121000,METUCHEN PD,14262,,,,,,,,Middlesex
,Number of Offenses,,0,0,3,2,20,102,6,Middlesex
,"Rate Per 100,000",,0,0,21.0,14.0,140.2,715.2,42.1,Middlesex
,Number of Clearances,,0,0,0,1,0,1,0,Middlesex
,Percent Cleared,,0,0,0,50,0,1,0,Middlesex
,Number of Arrests,,0,0,3,6,7,11,0,Middlesex
NJ0121100,MIDDLESEX BORO PD,13704,,,,,,,,Middlesex
,Number of Offenses,,0,1,3,7,13,81,6,Middlesex
,"Rate Per 100,000",,0,7.3,21.9,51.1,94.9,591.1,43.8,Middlesex
,Number of Clearances,,0,0,2,7,6,61,2,Middlesex
,Percent Cleared,,0,0,67,100,46,75,33,Middlesex
,Number of Arrests,,0,0,2,6,9,16,2,Middlesex
NJ0122600,MIDDLESEX CO COLLEGE PD,0,,,,,,,,Middlesex
,Number of Offenses,,0,0,0,0,0,8,0,Middlesex
,"Rate Per 100,000",,0,0,0,0,0,0,0,Middlesex
,Number of Clearances,,0,0,0,0,0,0,0,Middlesex
,Percent Cleared,,0,0,0,0,0,0,0,Middlesex
,Number of Arrests,,0,0,0,0,0,0,0,Middlesex
NJ0128900,MIDDLESEX CO PROSECUTOR'S OFFICE,0,,,,,,,,Middlesex
,Number of Offenses,,0,0,0,0,0,0,0,Middlesex
,"Rate Per 100,000",,0,0,0,0,0,0,0,Middlesex
,Number of Clearances,,0,0,0,0,0,0,0,Middlesex
,Percent Cleared,,0,0,0,0,0,0,0,Middlesex
,Number of Arrests,,0,0,0,1,0,0,0,Middlesex
NJ0120000,MIDDLESEX CO SHERIFF'S DEPT,0,,,,,,,,Middlesex
,Number of Offenses,,0,0,0,0,0,0,0,Middlesex
,"Rate Per 100,000",,0,0,0,0,0,0,0,Middlesex
,Number of Clearances,,0,0,0,0,0,0,0,Middlesex
,Percent Cleared,,0,0,0,0,0,0,0,Middlesex
,Number of Arrests,,0,0,0,0,0,0,0,Middlesex
NJ0121200,MILLTOWN PD,7099,,,,,,,,Middlesex
,Number of Offenses,,0,0,2,0,3,110,0,Middlesex
,"Rate Per 100,000",,0,0,28.2,0,42.3,"1,549.5",0,Middlesex
,Number of Clearances,,0,0,2,0,1,53,0,Middlesex
,Percent Cleared,,0,0,100,0,33,48,0,Middlesex
,Number of Arrests,,0,0,3,0,1,58,0,Middlesex
NJ0121300,MONROE TWP PD,45597,,,,,,,,Middlesex
,Number of Offenses,,0,1,0,4,16,128,14,Middlesex
,"Rate Per 100,000",,0,2.2,0,8.8,35.1,280.7,30.7,Middlesex
,Number of Clearances,,0,1,0,3,2,14,0,Middlesex
,Percent Cleared,,0,100,0,75,13,11,0,Middlesex
,Number of Arrests,,0,1,0,5,4,14,3,Middlesex
NJ0121400,NEW BRUNSWICK PD,56577,,,,,,,,Middlesex
,Number of Offenses,,2,30,142,135,230,907,73,Middlesex
,"Rate Per 100,000",,3.5,53.0,251.0,238.6,406.5,"1,603.1",129.0,Middlesex
,Number of Clearances,,1,13,24,55,23,80,2,Middlesex
,Percent Cleared,,50,43,17,41,10,9,3,Middlesex
,Number of Arrests,,1,11,33,70,26,60,2,Middlesex
NJ0121500,NORTH BRUNSWICK TWP PD,42205,,,,,,,,Middlesex
,Number of Offenses,,0,5,24,24,90,562,31,Middlesex
,"Rate Per 100,000",,0,11.8,56.9,56.9,213.2,"1,331.6",73.5,Middlesex
,Number of Clearances,,0,1,13,18,9,181,2,Middlesex
,Percent Cleared,,0,20,54,75,10,32,6,Middlesex
,Number of Arrests,,0,1,18,18,14,174,2,Middlesex
NJ0120900,OLD BRIDGE TWP PD,66321,,,,,,,,Middlesex
,Number of Offenses,,0,1,12,15,49,393,48,Middlesex
,"Rate Per 100,000",,0,1.5,18.1,22.6,73.9,592.6,72.4,Middlesex
,Number of Clearances,,0,0,5,14,11,67,2,Middlesex
,Percent Cleared,,0,0,42,93,22,17,4,Middlesex
,Number of Arrests,,0,0,5,15,13,75,3,Middlesex
NJ0121600,PERTH AMBOY PD,52347,,,,,,,,Middlesex
,Number of Offenses,,1,0,53,111,126,530,65,Middlesex
,"Rate Per 100,000",,1.9,0,101.2,212.0,240.7,"1,012.5",124.2,Middlesex
,Number of Clearances,,2,0,22,89,21,71,5,Middlesex
,Percent Cleared,,200,0,42,80,17,13,8,Middlesex
,Number of Arrests,,2,0,35,65,28,70,7,Middlesex
NJ0121700,PISCATAWAY TWP PD,57342,,,,,,,,Middlesex
,Number of Offenses,,0,6,18,30,70,320,35,Middlesex
,"Rate Per 100,000",,0,10.5,31.4,52.3,122.1,558.1,61.0,Middlesex
,Number of Clearances,,0,4,3,15,8,34,3,Middlesex
,Percent Cleared,,0,67,17,50,11,11,9,Middlesex
,Number of Arrests,,0,3,4,12,7,22,2,Middlesex
NJ0121800,PLAINSBORO TWP PD,23243,,,,,,,,Middlesex
,Number of Offenses,,0,0,0,10,12,102,4,Middlesex
,"Rate Per 100,000",,0,0,0,43.0,51.6,438.8,17.2,Middlesex
,Number of Clearances,,0,0,0,10,3,19,1,Middlesex
,Percent Cleared,,0,0,0,100,25,19,25,Middlesex
,Number of Arrests,,0,0,0,7,5,6,2,Middlesex
NJ0123000,RUTGERS UNIVERSITY PD,0,,,,,,,,Middlesex
,Number of Offenses,,0,6,4,17,24,360,4,Middlesex
,"Rate Per 100,000",,0,0,0,0,0,0,0,Middlesex
,Number of Clearances,,0,1,3,12,2,42,0,Middlesex
,Percent Cleared,,0,17,75,71,8,12,0,Middlesex
,Number of Arrests,,0,1,13,8,3,40,0,Middlesex
NJ0121900,SAYREVILLE PD,45062,,,,,,,,Middlesex
,Number of Offenses,,0,3,6,35,31,236,34,Middlesex
,"Rate Per 100,000",,0,6.7,13.3,77.7,68.8,523.7,75.5,Middlesex
,Number of Clearances,,0,0,1,18,2,10,0,Middlesex
,Percent Cleared,,0,0,17,51,6,4,0,Middlesex
,Number of Arrests,,0,0,6,18,2,8,2,Middlesex
NJ0122000,SOUTH AMBOY PD,8764,,,,,,,,Middlesex
,Number of Offenses,,0,0,1,5,19,68,10,Middlesex
,"Rate Per 100,000",,0,0,11.4,57.1,216.8,775.9,114.1,Middlesex
,Number of Clearances,,0,0,0,5,1,2,6,Middlesex
,Percent Cleared,,0,0,0,100,5,3,60,Middlesex
,Number of Arrests,,0,0,1,15,5,5,0,Middlesex
NJ0122100,SOUTH BRUNSWICK TWP PD,46340,,,,,,,,Middlesex
,Number of Offenses,,0,5,7,11,46,219,11,Middlesex
,"Rate Per 100,000",,0,10.8,15.1,23.7,99.3,472.6,23.7,Middlesex
,Number of Clearances,,0,4,2,11,8,43,0,Middlesex
,Percent Cleared,,0,80,29,100,17,20,0,Middlesex
,Number of Arrests,,0,3,4,11,12,40,0,Middlesex
NJ0122200,SOUTH PLAINFIELD PD,24238,,,,,,,,Middlesex
,Number of Offenses,,0,0,5,18,34,339,24,Middlesex
,"Rate Per 100,000",,0,0,20.6,74.3,140.3,"1,398.6",99.0,Middlesex
,Number of Clearances,,0,0,2,12,0,62,1,Middlesex
,Percent Cleared,,0,0,40,67,0,18,4,Middlesex
,Number of Arrests,,0,0,2,24,11,100,2,Middlesex
NJ0122300,SOUTH RIVER PD,16159,,,,,,,,Middlesex
,Number of Offenses,,0,3,2,14,16,102,4,Middlesex
,"Rate Per 100,000",,0,18.6,12.4,86.6,99.0,631.2,24.8,Middlesex
,Number of Clearances,,0,0,0,8,3,9,1,Middlesex
,Percent Cleared,,0,0,0,57,19,9,25,Middlesex
,Number of Arrests,,0,0,0,10,4,9,1,Middlesex
NJ0122400,SPOTSWOOD PD,8364,,,,,,,,Middlesex
,Number of Offenses,,0,0,0,1,7,53,1,Middlesex
,"Rate Per 100,000",,0,0,0,12.0,83.7,633.7,12.0,Middlesex
,Number of Clearances,,0,0,0,0,3,22,1,Middlesex
,Percent Cleared,,0,0,0,0,43,42,100,Middlesex
