ZIP Code 2,City,County,Type
07757,Oceanport,Monmouth,Standard
07758,Port Monmouth,Monmouth,Standard
07760,Rumson,Monmouth,Standard
07762,Spring Lake,Monmouth,Standard
07763,Tennent,Monmouth,P.O. Box
07764,West Long Branch,Monmouth,Standard
07765,Wickatunk,Monmouth,P.O. Box
07799,Eatontown,Monmouth,Standard
07801,Dover,Morris,Standard
07802,Dover,Morris,P.O. Box
07803,Mine Hill,Morris,Standard
07806,Picatinny Arsenal,Morris,Standard
07820,Allamuchy,Warren,P.O. Box
07821,Andover,Sussex,Standard
07822,Augusta,Sussex,Standard
07823,Belvidere,Warren,Standard
07825,Blairstown,Warren,Standard
07826,Branchville,Sussex,Standard
07827,Montague,Sussex,Standard
07828,Budd Lake,Morris,Standard
07829,Buttzville,Warren,P.O. Box
07830,Califon,Hunterdon,Standard
07831,Changewater,Warren,Standard
07832,Columbia,Warren,Standard
07833,Delaware,Warren,P.O. Box
07834,Denville,Morris,Standard
07836,Flanders,Morris,Standard
07837,Glasser,Sussex,P.O. Box
07838,Great Meadows,Warren,Standard
07839,Greendell,Sussex,P.O. Box
07840,Hackettstown,Warren,Standard
07842,Hibernia,Morris,P.O. Box
07843,Hopatcong,Sussex,Standard
07844,Hope,Warren,P.O. Box
07845,Ironia,Morris,P.O. Box
07846,Johnsonburg,Warren,P.O. Box
07847,Kenvil,Morris,Standard
07848,Lafayette,Sussex,Standard
07849,Lake Hopatcong,Morris,Standard
07850,Landing,Morris,Standard
07851,Layton,Sussex,Standard
07852,Ledgewood,Morris,Standard
07853,Long Valley,Morris,Standard
07855,Middleville,Sussex,P.O. Box
07856,Mount Arlington,Morris,Standard
07857,Netcong,Morris,Standard
07860,Newton,Sussex,Standard
07863,Oxford,Warren,Standard
07865,Port Murray,Warren,Standard
07866,Rockaway,Morris,Standard
07869,Randolph,Morris,Standard
07870,Schooleys Mountain,Morris,P.O. Box
07871,Sparta,Sussex,Standard
07874,Stanhope,Sussex,Standard
07875,Stillwater,Sussex,P.O. Box
07876,Succasunna,Morris,Standard
07877,Swartswood,Sussex,P.O. Box
07878,Mount Tabor,Morris,P.O. Box
07879,Tranquility,Sussex,P.O. Box
07880,Vienna,Warren,P.O. Box
07881,Wallpack Center,Sussex,Standard
07882,Washington,Warren,Standard
07885,Wharton,Morris,Standard
07890,Branchville,Sussex,Unique
07901,Summit,Union,Standard
07902,Summit,Union,P.O. Box
07920,Basking Ridge,Somerset,Standard
07921,Bedminster,Somerset,Standard
07922,Berkeley Heights,Union,Standard
07924,Bernardsville,Somerset,Standard
07926,Brookside,Morris,P.O. Box
07927,Cedar Knolls,Morris,Standard
07928,Chatham,Morris,Standard
07930,Chester,Morris,Standard
07931,Far Hills,Somerset,Standard
07932,Florham Park,Morris,Standard
07933,Gillette,Morris,Standard
07934,Gladstone,Somerset,Standard
07935,Green Village,Morris,Standard
07936,East Hanover,Morris,Standard
07938,Liberty Corner,Somerset,P.O. Box
07939,Lyons,Somerset,Standard
07940,Madison,Morris,Standard
07945,Mendham,Morris,Standard
